epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.583,1.51434,1.2505,1.23888,0.55461,0.46833,0.46128,0.26419,1.49816,1.25207,1.25896,0.00166497,0.00166497,0.0683655
2,437.147,1.52521,1.27308,1.23729,0.54671,0.47131,0.45686,0.26124,1.49662,1.26695,1.25474,0.00333086,0.00333086,0.0366981
3,648.378,1.5354,1.28086,1.24023,0.54634,0.45985,0.45452,0.25782,1.51615,1.27079,1.26713,0.00499362,0.00499362,0.00502753
4,858.721,1.54262,1.29637,1.25213,0.54523,0.4609,0.45071,0.25843,1.50572,1.27496,1.26451,0.00498946,0.00498946,0.00498946
5,1069.37,1.54718,1.29995,1.25081,0.54391,0.46237,0.45099,0.25235,1.53479,1.27312,1.2706,0.00498127,0.00498127,0.00498127
6,1280.13,1.55024,1.3008,1.24694,0.54711,0.4528,0.45161,0.25806,1.50762,1.27695,1.26524,0.00497076,0.00497076,0.00497076
7,1490.41,1.54979,1.3081,1.25261,0.54475,0.45689,0.44907,0.25886,1.49081,1.26779,1.25627,0.00495793,0.00495793,0.00495793
8,1700.44,1.54913,1.30493,1.25991,0.54304,0.45535,0.44729,0.25579,1.51159,1.27977,1.26772,0.0049428,0.0049428,0.0049428
9,1910.92,1.54744,1.29928,1.24569,0.53639,0.46069,0.4469,0.25756,1.49628,1.27336,1.2578,0.00492539,0.00492539,0.00492539
10,2121.18,1.5524,1.30791,1.24838,0.55525,0.46561,0.45944,0.26238,1.4974,1.26046,1.25654,0.0049057,0.0049057,0.0049057
11,2331.92,1.54559,1.29252,1.24775,0.56114,0.46512,0.46344,0.26707,1.48306,1.26233,1.25073,0.00488376,0.00488376,0.00488376
12,2542.18,1.53925,1.28907,1.24936,0.54856,0.47244,0.4582,0.26257,1.49245,1.25869,1.25475,0.00485959,0.00485959,0.00485959
13,2753.01,1.54951,1.3026,1.2478,0.54722,0.46571,0.46034,0.26341,1.49543,1.25622,1.25742,0.00483322,0.00483322,0.00483322
14,2963.43,1.54317,1.29189,1.24826,0.55905,0.45606,0.45122,0.25672,1.50299,1.27326,1.26119,0.00480467,0.00480467,0.00480467
15,3173.09,1.53266,1.27935,1.24248,0.54245,0.4738,0.45666,0.26205,1.50179,1.26125,1.25711,0.00477396,0.00477396,0.00477396
16,3383.16,1.52797,1.28302,1.24524,0.55494,0.46778,0.4637,0.26345,1.49698,1.25195,1.25705,0.00474114,0.00474114,0.00474114
17,3593.41,1.52259,1.26972,1.24238,0.55656,0.47106,0.46197,0.26399,1.4907,1.2496,1.25254,0.00470623,0.00470623,0.00470623
18,3803.98,1.53621,1.27854,1.24243,0.55408,0.47617,0.46059,0.26396,1.50169,1.25135,1.25683,0.00466926,0.00466926,0.00466926
19,4013.96,1.53182,1.27513,1.23456,0.55576,0.47415,0.46918,0.26744,1.49511,1.23768,1.25255,0.00463028,0.00463028,0.00463028
20,4224.21,1.52597,1.26582,1.23637,0.5577,0.46852,0.465,0.26552,1.48797,1.24253,1.25062,0.00458932,0.00458932,0.00458932
21,4434.92,1.52841,1.26658,1.23694,0.55685,0.47299,0.46769,0.26888,1.49092,1.23966,1.25221,0.00454642,0.00454642,0.00454642
22,4645.3,1.5285,1.26577,1.23572,0.56166,0.47326,0.47103,0.27016,1.48064,1.23907,1.24833,0.00450162,0.00450162,0.00450162
23,4855.67,1.52305,1.26412,1.24224,0.54989,0.47153,0.46158,0.26298,1.49925,1.24844,1.25578,0.00445497,0.00445497,0.00445497
24,5065.09,1.52379,1.26302,1.24381,0.55081,0.48047,0.4658,0.26769,1.49182,1.241,1.25326,0.00440651,0.00440651,0.00440651
25,5274.7,1.52452,1.2622,1.23462,0.56967,0.47278,0.47071,0.2705,1.49435,1.23036,1.25242,0.0043563,0.0043563,0.0043563
26,5484.59,1.51897,1.25777,1.23813,0.54602,0.47706,0.46515,0.2677,1.48127,1.23055,1.24651,0.00430438,0.00430438,0.00430438
27,5695.02,1.51596,1.25253,1.23364,0.55702,0.47202,0.4692,0.26917,1.4834,1.23791,1.24688,0.0042508,0.0042508,0.0042508
28,5904.84,1.51431,1.24955,1.23402,0.5691,0.47297,0.47002,0.27026,1.48076,1.23194,1.24617,0.00419562,0.00419562,0.00419562
29,6114.85,1.51439,1.24912,1.22475,0.56282,0.47229,0.46713,0.26974,1.48602,1.23054,1.2491,0.00413888,0.00413888,0.00413888
30,6324.48,1.52199,1.25859,1.23484,0.57077,0.47427,0.47446,0.27241,1.48804,1.22319,1.24846,0.00408065,0.00408065,0.00408065
31,6535.06,1.5136,1.24375,1.23044,0.56072,0.47749,0.46797,0.26939,1.48564,1.2285,1.24911,0.00402099,0.00402099,0.00402099
32,6744.92,1.51287,1.2413,1.22991,0.5647,0.47721,0.46946,0.27108,1.47927,1.22278,1.24606,0.00395995,0.00395995,0.00395995
33,6955.48,1.51626,1.24083,1.22813,0.55956,0.48191,0.47217,0.27204,1.47432,1.2196,1.24374,0.00389759,0.00389759,0.00389759
34,7165.33,1.51294,1.24073,1.22926,0.5682,0.48077,0.47203,0.2707,1.47924,1.22279,1.24414,0.00383397,0.00383397,0.00383397
35,7375.62,1.51025,1.23626,1.2264,0.55923,0.48306,0.47482,0.27389,1.47592,1.21232,1.24416,0.00376916,0.00376916,0.00376916
36,7585.75,1.51586,1.24331,1.22925,0.56449,0.47895,0.47216,0.27076,1.476,1.21482,1.2418,0.00370323,0.00370323,0.00370323
37,7795.57,1.5083,1.23489,1.22528,0.56848,0.4762,0.47074,0.27188,1.48103,1.22102,1.24728,0.00363623,0.00363623,0.00363623
38,8005.49,1.50255,1.22822,1.22951,0.55121,0.48641,0.47173,0.27034,1.48825,1.21443,1.24563,0.00356823,0.00356823,0.00356823
39,8216.52,1.50828,1.23218,1.22429,0.56396,0.47311,0.47294,0.2723,1.47516,1.21591,1.24495,0.0034993,0.0034993,0.0034993
40,8426.2,1.502,1.22043,1.22306,0.56599,0.48449,0.47654,0.2754,1.47324,1.21015,1.2432,0.0034295,0.0034295,0.0034295
41,8635.7,1.49898,1.2207,1.23023,0.56946,0.47827,0.47569,0.2743,1.47438,1.21041,1.24131,0.00335892,0.00335892,0.00335892
42,8845.63,1.49829,1.21946,1.221,0.57554,0.47281,0.47867,0.27686,1.46838,1.20707,1.23772,0.0032876,0.0032876,0.0032876
43,9055.96,1.49696,1.21245,1.22417,0.58221,0.47762,0.48247,0.27815,1.47042,1.20359,1.23985,0.00321564,0.00321564,0.00321564
44,9265.44,1.49214,1.2091,1.21892,0.56187,0.48127,0.47853,0.27566,1.48912,1.20746,1.24691,0.00314309,0.00314309,0.00314309
45,9476,1.48827,1.20492,1.22198,0.54872,0.48758,0.47803,0.27383,1.48878,1.20447,1.2458,0.00307003,0.00307003,0.00307003
46,9686.55,1.48427,1.20634,1.21444,0.56029,0.49131,0.4786,0.27727,1.47215,1.20316,1.24013,0.00299653,0.00299653,0.00299653
47,9896.4,1.48972,1.20351,1.21823,0.56935,0.4845,0.47948,0.27939,1.46316,1.20043,1.2369,0.00292267,0.00292267,0.00292267
48,10106.1,1.48154,1.1977,1.21865,0.57375,0.47862,0.4784,0.27859,1.46651,1.19518,1.2386,0.00284851,0.00284851,0.00284851
49,10317.1,1.48507,1.19933,1.21265,0.5709,0.4845,0.48105,0.27784,1.4709,1.19968,1.23723,0.00277413,0.00277413,0.00277413
