epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.481,1.39283,1.14151,1.11938,0.59976,0.52185,0.51816,0.30771,1.53233,1.44041,1.16293,0.000499491,0.000499491,0.000601221
2,346.885,1.37825,1.11621,1.11518,0.61235,0.51894,0.52207,0.31093,1.51769,1.43994,1.1579,0.000499556,0.000499556,0.000499556
3,517.921,1.36827,1.10581,1.11313,0.61335,0.52512,0.52306,0.31128,1.53283,1.43713,1.1611,0.000498226,0.000498226,0.000498226
4,689.451,1.36995,1.10017,1.11149,0.60797,0.52537,0.52232,0.31063,1.52559,1.43975,1.15972,0.000496015,0.000496015,0.000496015
5,859.956,1.36892,1.09791,1.11111,0.61211,0.52107,0.52053,0.30974,1.52955,1.4456,1.16088,0.000492931,0.000492931,0.000492931
6,1030.44,1.36637,1.09099,1.11153,0.6074,0.52176,0.52065,0.31098,1.53025,1.44044,1.16095,0.000488988,0.000488988,0.000488988
7,1201.01,1.36746,1.08892,1.11095,0.60858,0.52009,0.52034,0.31052,1.526,1.44002,1.15947,0.0004842,0.0004842,0.0004842
8,1371.55,1.36148,1.08229,1.10931,0.61484,0.51909,0.52035,0.31124,1.51913,1.43772,1.1583,0.000478586,0.000478586,0.000478586
9,1541.93,1.36083,1.08018,1.10861,0.60623,0.52258,0.5213,0.3093,1.52884,1.44307,1.1584,0.000472169,0.000472169,0.000472169
10,1712.54,1.35939,1.07929,1.10821,0.60789,0.52074,0.51811,0.30828,1.53348,1.44818,1.15965,0.000464974,0.000464974,0.000464974
11,1882.39,1.35583,1.07265,1.10819,0.60877,0.52368,0.51942,0.30738,1.53953,1.44417,1.16177,0.000457029,0.000457029,0.000457029
12,2052.85,1.3534,1.07116,1.10845,0.61287,0.52024,0.5183,0.30793,1.5338,1.44941,1.16031,0.000448365,0.000448365,0.000448365
13,2222.7,1.35164,1.06728,1.10698,0.60914,0.52182,0.52001,0.30788,1.54298,1.44468,1.16417,0.000439018,0.000439018,0.000439018
14,2392.93,1.35907,1.06897,1.10873,0.60931,0.52247,0.51887,0.30905,1.53926,1.44727,1.16183,0.000429023,0.000429023,0.000429023
15,2563.5,1.34835,1.06174,1.10486,0.61044,0.52082,0.51846,0.3075,1.53837,1.45306,1.16238,0.00041842,0.00041842,0.00041842
16,2734.23,1.34812,1.05866,1.10387,0.6119,0.51707,0.51903,0.30861,1.53559,1.44785,1.16085,0.000407252,0.000407252,0.000407252
17,2904.62,1.34598,1.05646,1.10432,0.61844,0.5173,0.51922,0.30737,1.54051,1.44933,1.16165,0.000395561,0.000395561,0.000395561
18,3075.28,1.34383,1.05273,1.10385,0.61039,0.52082,0.5178,0.3075,1.53874,1.44797,1.16083,0.000383395,0.000383395,0.000383395
19,3245.05,1.34505,1.05295,1.10351,0.60995,0.52029,0.5178,0.30836,1.53139,1.44602,1.16016,0.0003708,0.0003708,0.0003708
20,3415.42,1.3428,1.04894,1.10134,0.60429,0.52292,0.51821,0.30738,1.54135,1.45085,1.16174,0.000357828,0.000357828,0.000357828
21,3586.18,1.34197,1.04844,1.10304,0.60442,0.52293,0.51811,0.30649,1.54116,1.45363,1.16257,0.000344529,0.000344529,0.000344529
22,3755.15,1.34236,1.05089,1.10312,0.61436,0.51708,0.5173,0.30671,1.53418,1.45328,1.1616,0.000330955,0.000330955,0.000330955
23,3925.93,1.34032,1.04486,1.10348,0.61409,0.51583,0.5184,0.30753,1.53893,1.44884,1.16155,0.000317161,0.000317161,0.000317161
24,4096.4,1.34187,1.04438,1.10068,0.60359,0.5209,0.51561,0.30584,1.5433,1.45171,1.16175,0.0003032,0.0003032,0.0003032
25,4267.04,1.33729,1.04011,1.10178,0.60507,0.51817,0.51614,0.30706,1.52983,1.44833,1.15973,0.000289128,0.000289128,0.000289128
26,4437.45,1.33714,1.04028,1.10229,0.61712,0.51249,0.51727,0.30626,1.53508,1.4509,1.16216,0.000275,0.000275,0.000275
27,4607.73,1.33936,1.0374,1.1017,0.6137,0.51046,0.51418,0.30462,1.53861,1.45872,1.16187,0.000260872,0.000260872,0.000260872
28,4778.26,1.33845,1.0371,1.10253,0.60495,0.52263,0.51674,0.3056,1.53558,1.44924,1.16126,0.0002468,0.0002468,0.0002468
29,4949.15,1.3359,1.0366,1.10058,0.60695,0.51408,0.5148,0.30583,1.53489,1.45149,1.16123,0.000232839,0.000232839,0.000232839
30,5120.8,1.33798,1.03483,1.1016,0.61419,0.51434,0.51518,0.30529,1.53655,1.45187,1.16196,0.000219045,0.000219045,0.000219045
31,5291.69,1.33059,1.02803,1.09913,0.60151,0.52399,0.51595,0.3046,1.54427,1.4575,1.1643,0.000205471,0.000205471,0.000205471
32,5462,1.32876,1.02755,1.09926,0.61262,0.51702,0.51638,0.30511,1.5426,1.45431,1.16382,0.000192172,0.000192172,0.000192172
33,5633.12,1.33548,1.03096,1.10128,0.61204,0.51677,0.51599,0.30503,1.54472,1.45644,1.16418,0.0001792,0.0001792,0.0001792
34,5803.01,1.33162,1.02615,1.099,0.61125,0.5192,0.51481,0.30482,1.54168,1.45757,1.16273,0.000166605,0.000166605,0.000166605
35,5972.55,1.33196,1.02859,1.09877,0.6053,0.5184,0.51382,0.30393,1.5435,1.45882,1.16396,0.000154439,0.000154439,0.000154439
36,6140.73,1.32979,1.02558,1.09846,0.6116,0.51506,0.51542,0.30557,1.53316,1.45484,1.16202,0.000142748,0.000142748,0.000142748
37,6310.02,1.33153,1.02446,1.10036,0.6055,0.52105,0.51522,0.30421,1.54498,1.45504,1.16412,0.00013158,0.00013158,0.00013158
38,6479.38,1.32723,1.02148,1.09785,0.60879,0.51794,0.51642,0.3054,1.53511,1.45461,1.16185,0.000120977,0.000120977,0.000120977
39,6649.22,1.32897,1.0225,1.09625,0.61194,0.51555,0.51421,0.3046,1.53641,1.45771,1.16195,0.000110982,0.000110982,0.000110982
40,6819.1,1.32605,1.02075,1.09921,0.61568,0.51096,0.51423,0.30373,1.54421,1.45804,1.16369,0.000101635,0.000101635,0.000101635
41,6988.84,1.33154,1.02286,1.099,0.60663,0.51889,0.51466,0.30416,1.54462,1.46028,1.16369,9.29712e-05,9.29712e-05,9.29712e-05
42,7159.16,1.32793,1.01894,1.09736,0.60826,0.5178,0.51538,0.30479,1.53945,1.45945,1.16284,8.50262e-05,8.50262e-05,8.50262e-05
43,7329.83,1.32758,1.01878,1.09593,0.61201,0.51553,0.51401,0.30383,1.54042,1.4561,1.16285,7.7831e-05,7.7831e-05,7.7831e-05
44,7499.8,1.32869,1.02104,1.09917,0.61056,0.5159,0.51405,0.30404,1.53927,1.4565,1.16245,7.14139e-05,7.14139e-05,7.14139e-05
45,7669.66,1.32659,1.01717,1.09877,0.61343,0.51318,0.51594,0.30434,1.54109,1.45595,1.1628,6.58003e-05,6.58003e-05,6.58003e-05
46,7839.99,1.32519,1.01722,1.098,0.61749,0.51204,0.51611,0.30475,1.54343,1.45787,1.16341,6.10123e-05,6.10123e-05,6.10123e-05
47,8010.63,1.32716,1.01746,1.09987,0.61913,0.51077,0.51585,0.30478,1.5403,1.45761,1.16286,5.70688e-05,5.70688e-05,5.70688e-05
48,8180.81,1.32268,1.01499,1.09543,0.6189,0.51087,0.5138,0.3043,1.5408,1.45735,1.16308,5.39854e-05,5.39854e-05,5.39854e-05
49,8351.77,1.32354,1.01625,1.09761,0.61749,0.51023,0.5142,0.30441,1.53899,1.45673,1.16249,5.17742e-05,5.17742e-05,5.17742e-05
50,8522.03,1.32635,1.01521,1.09804,0.61682,0.51148,0.51485,0.30404,1.54062,1.45635,1.16269,5.0444e-05,5.0444e-05,5.0444e-05
