epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.067,1.42731,1.16364,1.26467,0.5922,0.51008,0.50506,0.29221,1.58449,1.45565,1.30968,0.000499491,0.000499491,0.000601221
2,434.264,1.41483,1.14403,1.25803,0.59137,0.50417,0.50652,0.29527,1.56735,1.45411,1.30242,0.000499556,0.000499556,0.000499556
3,648.865,1.40279,1.13371,1.25635,0.60597,0.49832,0.50623,0.29477,1.57245,1.45322,1.30495,0.000498226,0.000498226,0.000498226
4,863.332,1.40722,1.13051,1.25465,0.58925,0.5081,0.5068,0.29477,1.57793,1.45583,1.30655,0.000496015,0.000496015,0.000496015
5,1077.68,1.40332,1.12743,1.25183,0.59121,0.50704,0.50457,0.29358,1.57655,1.45715,1.30558,0.000492931,0.000492931,0.000492931
6,1292.23,1.40452,1.12361,1.25548,0.59649,0.50471,0.50624,0.29495,1.57173,1.4583,1.3028,0.000488988,0.000488988,0.000488988
7,1506.93,1.40411,1.1201,1.25189,0.59198,0.50634,0.50556,0.29375,1.57507,1.45569,1.30446,0.0004842,0.0004842,0.0004842
8,1721.41,1.39775,1.11239,1.24825,0.59557,0.50464,0.50519,0.29494,1.5636,1.4606,1.30088,0.000478586,0.000478586,0.000478586
9,1936.2,1.39855,1.11112,1.24904,0.58596,0.50881,0.50564,0.29535,1.56612,1.45656,1.30083,0.000472169,0.000472169,0.000472169
10,2150.5,1.39639,1.11225,1.24936,0.59309,0.50454,0.5048,0.29383,1.57907,1.45827,1.3061,0.000464974,0.000464974,0.000464974
11,2364.94,1.39369,1.10265,1.24963,0.59482,0.50847,0.50584,0.29429,1.56951,1.45699,1.30203,0.000457029,0.000457029,0.000457029
12,2579.81,1.39146,1.10253,1.24969,0.58794,0.51153,0.50325,0.29286,1.57315,1.46174,1.30349,0.000448365,0.000448365,0.000448365
13,2795.09,1.38882,1.10052,1.24675,0.58546,0.50921,0.50265,0.29196,1.57402,1.46177,1.30412,0.000439018,0.000439018,0.000439018
14,3009.89,1.39609,1.1013,1.24733,0.59525,0.50041,0.50505,0.29309,1.57706,1.46233,1.305,0.000429023,0.000429023,0.000429023
15,3224.97,1.38635,1.09532,1.24481,0.58841,0.51042,0.50425,0.29319,1.57405,1.46539,1.30477,0.00041842,0.00041842,0.00041842
16,3439.92,1.38432,1.09082,1.24324,0.58851,0.51042,0.50552,0.29405,1.56918,1.46232,1.30176,0.000407252,0.000407252,0.000407252
17,3654.92,1.38246,1.08899,1.24219,0.59433,0.50619,0.5036,0.29275,1.57806,1.46269,1.30548,0.000395561,0.000395561,0.000395561
18,3869.82,1.38081,1.08497,1.24115,0.59166,0.50605,0.50334,0.29239,1.58539,1.46335,1.30791,0.000383395,0.000383395,0.000383395
19,4084.38,1.38225,1.08584,1.24098,0.59661,0.50362,0.50435,0.29438,1.56586,1.46008,1.30196,0.0003708,0.0003708,0.0003708
20,4298.97,1.37871,1.08249,1.23904,0.59294,0.50504,0.50346,0.2922,1.57557,1.46589,1.30385,0.000357828,0.000357828,0.000357828
21,4513.73,1.38044,1.08229,1.24144,0.59963,0.50153,0.50496,0.29291,1.57689,1.46522,1.30627,0.000344529,0.000344529,0.000344529
22,4728.37,1.37894,1.08271,1.24228,0.58489,0.51167,0.50344,0.29289,1.56579,1.4661,1.30206,0.000330955,0.000330955,0.000330955
23,4942.73,1.37624,1.07688,1.24217,0.60237,0.49803,0.50362,0.29372,1.57075,1.46074,1.30352,0.000317161,0.000317161,0.000317161
24,5157.11,1.37926,1.07752,1.23853,0.58278,0.50835,0.50026,0.2895,1.58917,1.4755,1.31002,0.0003032,0.0003032,0.0003032
25,5371.85,1.37558,1.07306,1.24024,0.58585,0.50941,0.50283,0.29299,1.57098,1.46588,1.30436,0.000289128,0.000289128,0.000289128
26,5587.01,1.37577,1.07536,1.24087,0.5917,0.50696,0.50358,0.29328,1.57174,1.46561,1.30412,0.000275,0.000275,0.000275
27,5800.97,1.37719,1.07276,1.23959,0.58918,0.50439,0.502,0.29115,1.57594,1.47174,1.30572,0.000260872,0.000260872,0.000260872
28,6015.06,1.37588,1.06963,1.24313,0.5899,0.50756,0.5032,0.29196,1.57522,1.46496,1.30494,0.0002468,0.0002468,0.0002468
29,6229.08,1.37292,1.07,1.23653,0.58853,0.50351,0.50241,0.29257,1.57372,1.46845,1.30569,0.000232839,0.000232839,0.000232839
30,6442.83,1.3762,1.06935,1.24059,0.58994,0.50799,0.50092,0.29049,1.58268,1.4693,1.30803,0.000219045,0.000219045,0.000219045
31,6656.37,1.36825,1.06534,1.23554,0.59185,0.50564,0.50055,0.29063,1.58071,1.46839,1.30639,0.000205471,0.000205471,0.000205471
32,6869.81,1.36443,1.06024,1.23411,0.59505,0.50315,0.5016,0.29137,1.58385,1.47196,1.30888,0.000192172,0.000192172,0.000192172
33,7083.22,1.37255,1.06872,1.24114,0.59076,0.50686,0.50328,0.29202,1.57819,1.46527,1.30678,0.0001792,0.0001792,0.0001792
34,7296.61,1.36791,1.05946,1.23589,0.58794,0.50839,0.50199,0.29148,1.58001,1.46773,1.30715,0.000166605,0.000166605,0.000166605
35,7510.17,1.36871,1.06317,1.23433,0.59775,0.50161,0.50263,0.29149,1.58178,1.46744,1.30822,0.000154439,0.000154439,0.000154439
36,7723.76,1.36679,1.05968,1.23498,0.59316,0.50212,0.50254,0.29272,1.57518,1.46715,1.3052,0.000142748,0.000142748,0.000142748
37,7937.19,1.36694,1.06059,1.23459,0.58552,0.50863,0.50095,0.291,1.58174,1.46897,1.30692,0.00013158,0.00013158,0.00013158
38,8151.05,1.36364,1.05667,1.23297,0.58767,0.50872,0.50243,0.2915,1.57862,1.46644,1.30707,0.000120977,0.000120977,0.000120977
39,8364.38,1.36655,1.05849,1.23012,0.59586,0.50393,0.50291,0.29219,1.5763,1.46968,1.30611,0.000110982,0.000110982,0.000110982
