epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7675,3.13251,2.99328,1.63884,0.18607,0.1846,0.0727,0.02756,2.33612,1.81237,1.22762,0.00199458,0.00199458,0.0820488
2,145.251,2.303,1.9154,1.21395,0.28232,0.18011,0.11138,0.0499,2.01218,1.61765,1.10135,0.0039936,0.0039936,0.0640478
3,213.753,2.17768,1.74985,1.15237,0.24524,0.20392,0.14269,0.06206,2.05351,1.48568,1.08969,0.00598872,0.00598872,0.0460429
4,280.963,2.10454,1.66665,1.12684,0.25236,0.22535,0.15514,0.06682,2.09106,1.46256,1.11428,0.00797702,0.00797702,0.0280312
5,347.516,2.08367,1.61497,1.11284,0.32947,0.21605,0.14537,0.06923,1.93658,1.53887,1.06711,0.00995557,0.00995557,0.0100098
6,414.357,2.05594,1.59635,1.09963,0.29144,0.2266,0.17131,0.07729,2.00645,1.40097,1.07487,0.00993906,0.00993906,0.00993906
7,481.021,2.01306,1.53725,1.08664,0.32025,0.24559,0.19697,0.09247,1.85789,1.32912,1.03496,0.00991232,0.00991232,0.00991232
8,547.679,1.96466,1.48149,1.07856,0.29109,0.26869,0.204,0.10246,1.73554,1.31241,1.01083,0.00988079,0.00988079,0.00988079
9,614.513,1.93558,1.45861,1.06659,0.34038,0.26924,0.2218,0.11024,1.70599,1.24438,0.9955,0.00984449,0.00984449,0.00984449
10,680.983,1.90524,1.4253,1.05941,0.35445,0.26811,0.22811,0.11133,1.75195,1.24152,1.00712,0.00980345,0.00980345,0.00980345
11,747.491,1.8851,1.40419,1.05091,0.36294,0.27614,0.23578,0.11752,1.7548,1.23149,1.00188,0.00975773,0.00975773,0.00975773
12,814.356,1.87114,1.38322,1.04582,0.35709,0.28952,0.24326,0.11974,1.71387,1.22345,0.99185,0.00970736,0.00970736,0.00970736
13,880.829,1.85288,1.35945,1.04347,0.37123,0.29259,0.2565,0.1298,1.66645,1.18227,0.98104,0.00965239,0.00965239,0.00965239
14,946.976,1.83758,1.34101,1.0331,0.36654,0.29405,0.24506,0.12467,1.66145,1.2025,0.98123,0.00959289,0.00959289,0.00959289
15,1013.57,1.82925,1.33605,1.03221,0.36381,0.29591,0.25228,0.13065,1.61907,1.18193,0.97501,0.00952889,0.00952889,0.00952889
16,1079.88,1.81867,1.32295,1.03388,0.37347,0.30591,0.26632,0.13775,1.59696,1.14874,0.96858,0.00946048,0.00946048,0.00946048
17,1146.42,1.80096,1.30396,1.02635,0.37755,0.30118,0.25986,0.13574,1.58783,1.15472,0.96808,0.00938772,0.00938772,0.00938772
18,1212.7,1.79404,1.29201,1.01946,0.4034,0.30859,0.27154,0.13991,1.60778,1.15385,0.97,0.00931067,0.00931067,0.00931067
19,1279.41,1.77544,1.27703,1.02199,0.39108,0.31241,0.27568,0.14399,1.56852,1.13533,0.95997,0.00922942,0.00922942,0.00922942
20,1345.9,1.76722,1.2656,1.01828,0.399,0.30956,0.28085,0.14573,1.60035,1.13371,0.96314,0.00914405,0.00914405,0.00914405
21,1412.24,1.77251,1.26636,1.01738,0.40111,0.30615,0.27768,0.14333,1.56255,1.1315,0.95622,0.00905463,0.00905463,0.00905463
22,1479,1.76708,1.26425,1.01536,0.39602,0.31959,0.28793,0.15171,1.56267,1.11963,0.95482,0.00896127,0.00896127,0.00896127
23,1545.49,1.74707,1.24369,1.00661,0.42236,0.32588,0.29534,0.156,1.5359,1.09583,0.95139,0.00886404,0.00886404,0.00886404
24,1612.16,1.76026,1.24275,1.00747,0.41002,0.32266,0.29266,0.15172,1.58719,1.11521,0.9578,0.00876305,0.00876305,0.00876305
25,1678.61,1.75782,1.24399,1.00739,0.42055,0.32893,0.29927,0.15857,1.52097,1.08726,0.94522,0.00865839,0.00865839,0.00865839
26,1745.21,1.74114,1.23105,1.00444,0.43438,0.32431,0.30237,0.16196,1.51294,1.08957,0.9455,0.00855018,0.00855018,0.00855018
27,1811.59,1.7256,1.21822,1.00437,0.41981,0.33263,0.3007,0.15951,1.52067,1.08579,0.944,0.00843851,0.00843851,0.00843851
28,1877.75,1.72417,1.21699,1.0044,0.41251,0.33477,0.29677,0.15682,1.54689,1.08794,0.94836,0.00832349,0.00832349,0.00832349
29,1944.22,1.72145,1.22005,0.99946,0.41903,0.3411,0.30797,0.16525,1.51545,1.0729,0.94218,0.00820525,0.00820525,0.00820525
30,2010.36,1.72123,1.20814,1.00077,0.42371,0.33771,0.30733,0.16648,1.50459,1.07266,0.93977,0.00808389,0.00808389,0.00808389
31,2076.99,1.71448,1.20357,0.99835,0.44387,0.33942,0.3115,0.16587,1.51819,1.06827,0.93968,0.00795954,0.00795954,0.00795954
32,2144.55,1.70723,1.1947,0.99409,0.43141,0.34421,0.32058,0.16881,1.52153,1.05274,0.94133,0.00783231,0.00783231,0.00783231
33,2211.65,1.715,1.20171,0.99597,0.44943,0.34539,0.32049,0.16954,1.48823,1.0532,0.93645,0.00770234,0.00770234,0.00770234
34,2277.9,1.69866,1.17978,0.99244,0.44734,0.34214,0.3205,0.17159,1.48862,1.06007,0.93462,0.00756976,0.00756976,0.00756976
35,2344.71,1.69858,1.18435,0.99036,0.4269,0.35151,0.31941,0.17048,1.49093,1.0582,0.935,0.00743468,0.00743468,0.00743468
36,2411.1,1.6918,1.17502,0.99246,0.4471,0.35308,0.32769,0.17467,1.48947,1.04799,0.93234,0.00729725,0.00729725,0.00729725
37,2477.36,1.67108,1.1565,0.9825,0.44024,0.35116,0.32639,0.17431,1.48485,1.04702,0.93449,0.00715761,0.00715761,0.00715761
