epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.559,1.46372,1.2193,1.26793,0.58563,0.50993,0.50303,0.28854,1.58744,1.47485,1.29692,0.000499491,0.000499491,0.000601221
2,429.195,1.44976,1.19839,1.25986,0.58762,0.51075,0.50339,0.2901,1.57219,1.46885,1.29038,0.000499556,0.000499556,0.000499556
3,642.452,1.43596,1.18396,1.25747,0.58229,0.51317,0.50232,0.28996,1.57744,1.46744,1.2924,0.000498226,0.000498226,0.000498226
4,855.638,1.43965,1.17953,1.25493,0.58781,0.51038,0.50301,0.28911,1.58722,1.47088,1.29619,0.000496015,0.000496015,0.000496015
5,1068.6,1.4387,1.17697,1.25352,0.58981,0.50665,0.50209,0.28996,1.58084,1.4716,1.29316,0.000492931,0.000492931,0.000492931
6,1282.08,1.43723,1.17215,1.25562,0.58613,0.51149,0.50152,0.29005,1.57893,1.4711,1.2917,0.000488988,0.000488988,0.000488988
7,1495.46,1.43522,1.17071,1.25222,0.58871,0.50761,0.50375,0.29135,1.57414,1.46516,1.29011,0.0004842,0.0004842,0.0004842
8,1709,1.43093,1.16194,1.24909,0.59373,0.50798,0.50154,0.29092,1.56814,1.46934,1.28908,0.000478586,0.000478586,0.000478586
9,1922.81,1.43056,1.16031,1.25049,0.59292,0.51137,0.50416,0.29257,1.56751,1.46529,1.28722,0.000472169,0.000472169,0.000472169
10,2135.73,1.4305,1.16328,1.25039,0.59642,0.5051,0.50154,0.29026,1.58103,1.46895,1.29143,0.000464974,0.000464974,0.000464974
11,2348.64,1.4259,1.15257,1.25069,0.59334,0.50615,0.50332,0.29157,1.57855,1.46761,1.29158,0.000457029,0.000457029,0.000457029
12,2561.37,1.42333,1.1505,1.24991,0.59024,0.50778,0.50302,0.29079,1.57574,1.46687,1.28933,0.000448365,0.000448365,0.000448365
13,2773.48,1.41977,1.14543,1.24655,0.5885,0.50953,0.50364,0.28922,1.58845,1.46766,1.29457,0.000439018,0.000439018,0.000439018
14,2985.85,1.42761,1.14853,1.24782,0.58426,0.51529,0.50229,0.28941,1.58582,1.46635,1.29384,0.000429023,0.000429023,0.000429023
15,3198.33,1.41782,1.14197,1.2448,0.59254,0.50857,0.50341,0.29125,1.5857,1.47542,1.29397,0.00041842,0.00041842,0.00041842
16,3411.17,1.41556,1.13739,1.24301,0.58678,0.51046,0.50309,0.29069,1.58112,1.47209,1.29214,0.000407252,0.000407252,0.000407252
17,3623.59,1.41436,1.13471,1.243,0.59133,0.51135,0.5042,0.29289,1.58058,1.46581,1.29181,0.000395561,0.000395561,0.000395561
18,3836.88,1.4118,1.12926,1.24143,0.58792,0.51146,0.50405,0.29139,1.58576,1.47259,1.29302,0.000383395,0.000383395,0.000383395
19,4049.42,1.41255,1.13215,1.24123,0.59414,0.50805,0.50322,0.29146,1.57754,1.46878,1.29096,0.0003708,0.0003708,0.0003708
20,4262.09,1.41175,1.12948,1.23999,0.58959,0.50638,0.50071,0.28909,1.58466,1.47163,1.29183,0.000357828,0.000357828,0.000357828
21,4474.65,1.4112,1.12773,1.24241,0.59192,0.50985,0.50351,0.29208,1.57779,1.46893,1.291,0.000344529,0.000344529,0.000344529
22,4686.99,1.41017,1.12756,1.24265,0.59732,0.50632,0.50243,0.29147,1.572,1.46911,1.28978,0.000330955,0.000330955,0.000330955
23,4900.35,1.40776,1.12155,1.24276,0.59165,0.51166,0.50574,0.29197,1.57873,1.46725,1.29112,0.000317161,0.000317161,0.000317161
24,5113.24,1.40934,1.12227,1.23786,0.59547,0.50467,0.50045,0.28804,1.59343,1.47744,1.29586,0.0003032,0.0003032,0.0003032
25,5325.94,1.40748,1.11951,1.24127,0.59894,0.50282,0.50014,0.28962,1.57686,1.47685,1.29152,0.000289128,0.000289128,0.000289128
26,5538.28,1.40597,1.12151,1.24101,0.5943,0.50829,0.50179,0.29068,1.5771,1.4709,1.29136,0.000275,0.000275,0.000275
27,5750.86,1.40684,1.11787,1.23932,0.58494,0.50989,0.49969,0.2895,1.58046,1.47771,1.29166,0.000260872,0.000260872,0.000260872
28,5963.59,1.40554,1.11624,1.24298,0.60142,0.50292,0.50032,0.28934,1.58036,1.47079,1.2923,0.0002468,0.0002468,0.0002468
29,6176.56,1.40345,1.11467,1.23656,0.58623,0.51246,0.50243,0.29181,1.57712,1.47054,1.29144,0.000232839,0.000232839,0.000232839
30,6389.72,1.40582,1.1135,1.24082,0.5957,0.50517,0.50116,0.28974,1.58565,1.47522,1.29293,0.000219045,0.000219045,0.000219045
31,6603.91,1.39796,1.10668,1.23547,0.59756,0.50548,0.50134,0.28927,1.58802,1.47776,1.29421,0.000205471,0.000205471,0.000205471
32,6817.78,1.39554,1.10358,1.23543,0.59355,0.50954,0.50031,0.28992,1.58273,1.47888,1.29213,0.000192172,0.000192172,0.000192172
33,7030.44,1.40249,1.11201,1.24168,0.59629,0.50817,0.50204,0.29039,1.58498,1.47349,1.2935,0.0001792,0.0001792,0.0001792
34,7244.62,1.39758,1.10261,1.23633,0.60299,0.50336,0.49997,0.28911,1.58324,1.47805,1.29287,0.000166605,0.000166605,0.000166605
35,7458.85,1.39927,1.10542,1.23457,0.59222,0.50752,0.50008,0.29023,1.58143,1.47411,1.29198,0.000154439,0.000154439,0.000154439
36,7672.9,1.39841,1.10405,1.23604,0.59757,0.50668,0.50058,0.28959,1.58384,1.47915,1.29296,0.000142748,0.000142748,0.000142748
37,7887.12,1.39826,1.10374,1.23602,0.60301,0.50333,0.50019,0.2888,1.58584,1.4769,1.29369,0.00013158,0.00013158,0.00013158
38,8101.43,1.39545,1.10031,1.23377,0.59392,0.50908,0.50185,0.29065,1.58279,1.47511,1.29264,0.000120977,0.000120977,0.000120977
39,8315.5,1.39706,1.1001,1.23029,0.59871,0.50504,0.50151,0.29026,1.58053,1.47565,1.29223,0.000110982,0.000110982,0.000110982
40,8529.41,1.39425,1.09722,1.23655,0.60154,0.50375,0.50137,0.28976,1.58868,1.47901,1.29431,0.000101635,0.000101635,0.000101635
41,8743.09,1.39889,1.10262,1.23516,0.5999,0.50501,0.50131,0.28942,1.58779,1.47838,1.29364,9.29712e-05,9.29712e-05,9.29712e-05
42,8957.03,1.39566,1.09852,1.23273,0.60564,0.50208,0.50125,0.29063,1.58072,1.4774,1.29211,8.50262e-05,8.50262e-05,8.50262e-05
43,9170.93,1.39586,1.09913,1.23249,0.59175,0.5091,0.50232,0.29029,1.5841,1.47694,1.29271,7.7831e-05,7.7831e-05,7.7831e-05
44,9385.37,1.39875,1.10117,1.23693,0.60271,0.5015,0.50023,0.28968,1.58342,1.48058,1.29264,7.14139e-05,7.14139e-05,7.14139e-05
45,9599.02,1.39246,1.09388,1.23416,0.60194,0.50447,0.50077,0.28918,1.58711,1.47811,1.29317,6.58003e-05,6.58003e-05,6.58003e-05
46,9813.31,1.39163,1.09613,1.23436,0.59809,0.50519,0.50035,0.28941,1.58669,1.47769,1.2938,6.10123e-05,6.10123e-05,6.10123e-05
47,10027.4,1.39492,1.09498,1.23893,0.60231,0.50347,0.5003,0.28917,1.58578,1.47894,1.29349,5.70688e-05,5.70688e-05,5.70688e-05
48,10241.3,1.38996,1.09262,1.23003,0.60517,0.50255,0.50071,0.2894,1.58533,1.47796,1.29322,5.39854e-05,5.39854e-05,5.39854e-05
49,10455.9,1.39144,1.09407,1.23547,0.6021,0.50261,0.50022,0.28896,1.58483,1.47775,1.29285,5.17742e-05,5.17742e-05,5.17742e-05
50,10670.3,1.39385,1.09462,1.23656,0.59697,0.50759,0.50161,0.28987,1.58548,1.47747,1.29295,5.0444e-05,5.0444e-05,5.0444e-05
